time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-08-24T11:51:01.920Z,56.1847,164.2991,31.71,5,mb,,97,4.562,0.74,us,us100034fr,2015-08-24T12:11:20.033Z,"113km E of Ust'-Kamchatsk Staryy, Russia",earthquake
2015-08-24T10:01:03.470Z,-18.0088,-70.9296,71.48,4.9,mb,,142,0.664,1.38,us,us100034fm,2015-08-24T10:19:33.142Z,"59km SE of Ilo, Peru",earthquake
2015-08-24T09:41:26.260Z,-30.8754,-178.3186,220.78,5.7,mwp,,76,1.659,1.03,us,us100034fl,2015-08-24T11:46:05.414Z,"83km NE of L'Esperance Rock, New Zealand",earthquake
2015-08-24T07:09:02.000Z,65.1456,-148.8384,15.9,2.8,ml,,,,0.74,ak,ak11684282,2015-08-24T07:32:58.930Z,"51km NW of Ester, Alaska",earthquake
2015-08-24T05:49:45.740Z,37.3066,141.1513,13.57,4.8,mb,,118,0.63,0.9,us,us100034f4,2015-08-24T09:51:34.797Z,"23km SE of Namie, Japan",earthquake
2015-08-24T05:13:50.000Z,-29.7434,-71.3054,44.27,4.8,mb,,86,0.184,0.74,us,us100034f1,2015-08-24T05:56:40.492Z,"18km NNW of La Serena, Chile",earthquake
2015-08-24T04:31:59.670Z,51.7938,178.0664,111.15,4.4,mb,,88,0.875,1.43,us,us100034ew,2015-08-24T04:57:54.695Z,"34km WSW of Little Sitkin Island, Alaska",earthquake
2015-08-24T04:25:20.780Z,40.7673,21.1991,11.29,4.3,mb,,45,1.164,0.91,us,us100034eu,2015-08-24T05:50:08.141Z,"17km W of Florina, Greece",earthquake
2015-08-24T03:59:09.910Z,37.9534,142.447,40.76,4.5,mb,,135,1.313,0.85,us,us100034er,2015-08-24T12:01:39.486Z,"112km ESE of Ishinomaki, Japan",earthquake
2015-08-24T03:36:28.800Z,19.4698,-65.4298,110,3.4,Md,4,331.2,1.16421661,0.15,pr,pr15236002,2015-08-24T11:39:10.485Z,"123km NNE of Vieques, Puerto Rico",earthquake
2015-08-24T03:35:50.500Z,18.1,-64.441,13,2.6,Md,5,262.8,0.35663117,0.62,pr,pr15236001,2015-08-24T11:38:24.457Z,"39km SSE of Road Town, British Virgin Islands",earthquake
2015-08-24T03:19:13.000Z,64.9867,-150.7419,18.3,2.9,ml,,,,0.73,ak,ak11684112,2015-08-24T11:21:51.638Z,"5km WSW of Manley Hot Springs, Alaska",earthquake
2015-08-24T03:09:48.300Z,18.2688,-67.5958,9,3,Md,10,169.2,0.15900181,0.21,pr,pr15236000,2015-08-24T11:12:15.887Z,"37km WSW of Rincon, Puerto Rico",earthquake
2015-08-24T02:42:48.000Z,-29.844,-71.239,44.9,4.3,mb,,,,0.81,us,us100034eh,2015-08-24T10:46:53.860Z,"7km NNE of La Serena, Chile",earthquake
2015-08-24T02:15:51.120Z,3.8399,-71.2138,14.18,4.4,mb,,101,2.762,0.99,us,us100034e9,2015-08-24T10:18:30.296Z,"106km S of Orocue, Colombia",earthquake
2015-08-24T01:59:02.920Z,-7.2036,123.755,564.68,4.7,mb,,45,2.069,0.93,us,us100034e7,2015-08-24T10:01:30.066Z,"181km NE of Palue, Indonesia",earthquake
2015-08-24T01:18:43.150Z,-20.3969,-69.188,114.61,4.7,mb,,49,0.256,1.35,us,us100034e3,2015-08-24T09:21:24.737Z,"101km ESE of Iquique, Chile",earthquake
2015-08-24T00:41:07.700Z,44.3865,-115.8135,5.41,2.5,ml,,32,0.713,0.83,us,us100034dy,2015-08-24T08:43:34.294Z,"23km SE of Cascade, Idaho",earthquake
2015-08-23T23:56:10.000Z,60.4313,-144.0549,21.7,3.3,ml,,,,0.94,ak,ak11684045,2015-08-24T07:58:46.048Z,"94km WNW of Cape Yakataga, Alaska",earthquake
2015-08-23T23:53:00.400Z,18.1576,-64.9231,12,2.8,Md,4,208.8,0.37280084,0.33,pr,pr15235009,2015-08-24T07:55:29.049Z,"20km S of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-23T23:39:48.100Z,36.2777,-97.5083,5,2.8,mb_lg,,40,0.445,0.64,us,us100034dw,2015-08-24T07:09:00.420Z,"19km W of Perry, Oklahoma",earthquake
2015-08-23T23:10:03.920Z,-29.6708,-71.4264,33.86,5.5,mb,,89,0.296,1.27,us,us100034du,2015-08-24T10:39:27.140Z,"31km NNW of La Serena, Chile",earthquake
2015-08-23T22:58:51.840Z,2.341,125.323,160.16,4.7,mb,,138,2.569,0.76,us,us100034ds,2015-08-24T07:01:22.634Z,"100km N of Bitung, Indonesia",earthquake
2015-08-23T22:13:10.380Z,18.7099,145.8267,133.69,4.6,mb,,146,2.358,0.65,us,us100034da,2015-08-24T06:15:46.459Z,"17km ESE of Agrihan, Northern Mariana Islands",earthquake
2015-08-23T20:57:05.740Z,-19.7424,-70.4073,60.44,4.9,mb,,145,0.304,1.24,us,us100034cw,2015-08-24T01:42:16.403Z,"59km NNW of Iquique, Chile",earthquake
2015-08-23T20:39:46.260Z,0.8686,97.8965,29.29,4.7,mb,,181,0.538,0.69,us,us100034cv,2015-08-24T04:42:32.318Z,"137km SW of Sibolga, Indonesia",earthquake
2015-08-23T19:54:26.400Z,5.4143,93.4156,32.66,4.7,mb,,145,5.823,0.96,us,us100034ck,2015-08-24T03:57:08.971Z,"211km W of Banda Aceh, Indonesia",earthquake
2015-08-23T19:14:41.420Z,-20.4865,-177.8474,543.59,4.3,mb,,107,4.739,0.58,us,us100034ci,2015-08-24T03:17:18.520Z,"90km ENE of Ndoi Island, Fiji",earthquake
2015-08-23T17:41:18.740Z,38.7833328,-122.7476654,4.01,3.83,mw,61,37,0.008551,0.05,nc,nc72511186,2015-08-24T05:46:50.734Z,"1km NE of The Geysers, California",earthquake
2015-08-23T16:21:35.320Z,36.0452,-97.1489,4.86,3.5,mb_lg,,75,0.267,0.24,us,us100034cc,2015-08-23T22:06:19.420Z,"11km SW of Stillwater, Oklahoma",earthquake
2015-08-23T15:48:37.020Z,14.8191,146.5819,64.62,4.6,mb,,73,0.861,0.83,us,us100034c6,2015-08-23T23:51:20.467Z,"99km ESE of Saipan, Northern Mariana Islands",earthquake
2015-08-23T15:41:16.000Z,67.2342,-160.4907,15,3.2,ml,,,,0.56,ak,ak11683810,2015-08-23T23:44:27.290Z,"98km ENE of Kotzebue, Alaska",earthquake
2015-08-23T14:55:59.140Z,12.9955,-89.5909,35,4.3,mb,,141,0.771,1.53,us,us100034bv,2015-08-23T18:26:05.902Z,"61km SSW of La Libertad, El Salvador",earthquake
2015-08-23T14:33:29.100Z,1.5484,127.3877,19.16,4.7,mb,,90,0.771,0.78,us,us100034bs,2015-08-23T22:35:58.691Z,"71km WSW of Tobelo, Indonesia",earthquake
2015-08-23T13:53:07.670Z,36.2778,-97.5144,2.98,3.1,mb_lg,,61,0.441,0.35,us,us100034bm,2015-08-23T21:55:44.538Z,"20km W of Perry, Oklahoma",earthquake
2015-08-23T13:17:25.700Z,17.9873,-67.6839,65,2.8,Md,7,331.2,0.59827798,0.27,pr,pr15235008,2015-08-23T21:19:57.907Z,"52km W of Pole Ojea, Puerto Rico",earthquake
2015-08-23T13:16:52.000Z,52.6862,-168.2777,27.4,2.9,ml,,,,0.94,ak,ak11683772,2015-08-23T21:19:30.240Z,"48km SE of Nikolski, Alaska",earthquake
2015-08-23T12:28:50.010Z,-27.0282,-175.292,43.12,4.6,mb,,106,3.209,0.49,us,us100034bi,2015-08-23T20:31:20.656Z,"Kermadec Islands region",earthquake
